225,Bones Hyland,PG,22,TOT,11.6,2.6,3.2,0.2,0.7
230,Kyrie Irving,PG,30,TOT,27.1,5.1,5.6,0.7,1.1
238,Reggie Jackson,PG,32,TOT,9.7,2,3.3,0.1,0.7
286,Saben Lee,PG,23,TOT,5.1,1.3,2.2,0,0.7
382,Gary Payton II,PG,30,TOT,4.8,3.3,1.3,0.3,1
426,D'Angelo Russell,PG,26,TOT,17.7,3,6.2,0.4,0.9
507,Russell Westbrook,PG,34,TOT,15.9,5.6,7.5,0.5,1
136,Kris Dunn,PG,28,UTA,13.2,4.5,5.6,0.5,1.1
233,Frank Jackson,PG,24,UTA,0,2,1,0,0
129,Devon Dotson,PG,23,WAS,0.5,1.7,1.3,0,0.8
168,Jordan Goodwin,PG,24,WAS,6.6,3.3,2.7,0.4,0.9
237,Quenton Jackson,PG,24,WAS,6.2,0.9,1.7,0.1,0.4
349,Monte Morris,PG,27,WAS,10.3,3.4,5.3,0.2,0.7
532,Delon Wright,PG,30,WAS,7.4,3.6,3.9,0.3,1.8
182,AJ Griffin,SF,19,ATL,8.9,2.1,1,0.2,0.6
224,De'Andre Hunter,SF,25,ATL,15.4,4.2,1.4,0.3,0.5
244,Jalen Johnson,SF,21,ATL,5.6,4,1.2,0.5,0.5
64,Jaylen Brown,SF,26,BOS,26.6,6.9,3.5,0.4,1.1
236,Justin Jackson,SF,27,BOS,0.9,0.7,0.4,0.2,0.2
369,Royce O'Neale,SF,29,BRK,8.8,5.1,3.7,0.6,0.9
502,Yuta Watanabe,SF,28,BRK,5.6,2.4,0.8,0.3,0.4
117,DeMar DeRozan,SF,33,CHI,24.5,4.6,5.1,0.5,1.1
212,Malcolm Hill,SF,27,CHI,1,0.6,0,0,0
252,Derrick Jones Jr.,SF,25,CHI,5,2.4,0.5,0.6,0.5
205,Gordon Hayward,SF,32,CHO,14.7,4.3,4.1,0.2,0.8
310,Cody Martin,SF,27,CHO,5,3.4,1.6,0.1,0.6
379,Kelly Oubre Jr.,SF,27,CHO,20.3,5.2,1.1,0.4,1.4
455,Xavier Sneed,SF,25,CHO,4.3,1.3,1.3,0.3,0
373,Isaac Okoro,SF,22,CLE,6.4,2.5,1.1,0.4,0.7
378,Cedi Osman,SF,27,CLE,8.7,2.3,1.5,0.1,0.5
528,Dylan Windler,SF,26,CLE,1.7,0,0.3,0,0.3
71,Reggie Bullock,SF,31,DAL,7.2,3.6,1.4,0.2,0.7
